Country,Internet_Penetration
Africa Eastern and Southern,30.4
Africa Western and Central,42.4
East Asia & Pacific,88.4
East Asia & Pacific (excluding high income),88.1
East Asia & Pacific (IDA & IBRD countries),88.9
Europe & Central Asia,92.4
Europe & Central Asia (excluding high income),87.5
Europe & Central Asia (IDA & IBRD countries),90.8
Fragile and conflict affected situations,38.5
High income,94.2
IBRD only,82.7
IDA & IBRD total,70.3
IDA blend,44.2
IDA only,36.1
IDA total,38.9
Latin America & Caribbean,83.7
Latin America & Caribbean (excluding high income),83.6
Latin America & the Caribbean (IDA & IBRD countries),83.9
Least developed countries: UN classification,33.7
Low income,23.4
Lower middle income,62.9
"Middle East, North Africa, Afghanistan & Pakistan",63.7
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",0.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",60.2
North America,95.6
Small states,0.0
South Asia,67.8
South Asia (IDA & IBRD),67.8
Sub-Saharan Africa,35.7
Sub-Saharan Africa (excluding high income),36.5
Sub-Saharan Africa (IDA & IBRD countries),35.2
Upper middle income,88.8
World,73.6
Afghanistan,17.7089
Albania,83.1356
Algeria,76.9081
American Samoa,0.0
Andorra,95.4456
Angola,44.7581
Antigua and Barbuda,77.5756
Argentina,89.6672
Armenia,79.9966
Aruba,97.17
Australia,97.0631
Austria,94.9197
Azerbaijan,89.0
"Bahamas, The",94.8186
Bahrain,100.0
Bangladesh,44.5027
Barbados,79.9923
Belarus,94.2618
Belgium,95.7758
Belize,72.3595
Benin,32.2083
Bermuda,98.37
Bhutan,88.426
Bolivia,70.2368
Bosnia and Herzegovina,86.1009
Botswana,81.36
Brazil,84.4635
British Virgin Islands,77.7043
Brunei Darussalam,99.0336
Bulgaria,82.439
Burkina Faso,17.0226
Burundi,11.0784
Cabo Verde,73.539
Cambodia,60.7171
Cameroon,41.9088
Canada,93.9564
Cayman Islands,81.0677
Central African Republic,7.50916
Chad,13.1832
Chile,94.4574
China,92.0
Colombia,77.3369
Comoros,35.6678
"Congo, Dem. Rep.",30.548
"Congo, Rep.",38.3791
Costa Rica,85.3951
Cote d'Ivoire,40.6528
Croatia,83.6324
Cuba,71.275
Curacao,68.1272
Cyprus,91.2211
Czechia,87.6878
Denmark,99.7692
Djibouti,65.0248
Dominica,83.8255
Dominican Republic,91.0022
Ecuador,77.1727
"Egypt, Arab Rep.",72.6899
El Salvador,67.6558
Equatorial Guinea,60.3661
Eritrea,20.0104
Estonia,92.238
Eswatini,57.62
Ethiopia,16.6981
Faroe Islands,97.582
Fiji,79.3485
Finland,93.5139
France,88.6538
French Polynesia,72.7039
Gabon,71.9256
"Gambia, The",45.9137
Georgia,81.8843
Germany,93.5
Ghana,69.9445
Gibraltar,94.4445
Greece,86.2697
Greenland,69.4825
Grenada,74.1201
Guam,80.5055
Guatemala,56.0535
Guinea,26.5014
Guinea-Bissau,32.4661
Guyana,81.7221
Haiti,39.262
Honduras,58.2789
"Hong Kong SAR, China",95.9778
Hungary,93.779
Iceland,99.8301
India,70.0
Indonesia,72.7808
"Iran, Islamic Rep.",79.6309
Iraq,81.7291
Ireland,96.4974
Israel,88.1824
Italy,89.2207
Jamaica,89.473
Japan,86.9815
Jordan,92.5344
Kazakhstan,93.3917
Kenya,34.9762
Kiribati,88.0
"Korea, Dem. People's Rep.",0.0
"Korea, Rep.",97.8956
Kosovo,89.443
Kuwait,99.7473
Kyrgyz Republic,88.4701
Lao PDR,63.6255
Latvia,92.7076
Lebanon,83.4933
Lesotho,47.991
Liberia,23.4979
Libya,88.4989
Liechtenstein,97.3444
Lithuania,88.5029
Luxembourg,98.7606
"Macao SAR, China",89.1806
Madagascar,20.3671
Malawi,17.9881
Malaysia,98.0206
Maldives,84.6851
Mali,35.0921
Malta,92.0727
Marshall Islands,65.7177
Mauritania,37.3809
Mauritius,79.5
Mexico,81.1832
"Micronesia, Fed. Sts.",39.3833
Moldova,80.2126
Monaco,99.1497
Mongolia,83.0162
Montenegro,88.8826
Morocco,91.0
Mozambique,19.8434
Myanmar,58.5357
Namibia,64.4061
Nauru,81.6554
Nepal,55.7716
Netherlands,97.0068
New Caledonia,82.0058
New Zealand,96.1638
Nicaragua,58.2314
Niger,23.1879
Nigeria,39.2136
North Macedonia,87.1819
Northern Mariana Islands,0.0
Norway,99.0
Oman,95.2517
Pakistan,27.3759
Palau,26.9703
Panama,68.5485
Papua New Guinea,24.0667
Paraguay,81.5781
Peru,81.9571
Philippines,83.7661
Poland,88.585
Portugal,88.487
Puerto Rico (US),87.2918
Qatar,99.6528
Romania,91.2905
Russian Federation,94.365
Rwanda,34.2005
Samoa,58.1386
San Marino,87.0278
Sao Tome and Principe,61.4607
Saudi Arabia,100.0
Senegal,60.6122
Serbia,87.6907
Seychelles,87.4009
Sierra Leone,20.635
Singapore,94.3776
Slovak Republic,89.8251
Slovenia,90.7636
Solomon Islands,42.4597
"Somalia, Fed. Rep.",27.6
South Africa,75.6592
South Sudan,9.27123
Spain,95.7575
Sri Lanka,51.2
St. Kitts and Nevis,76.4208
St. Lucia,70.0834
St. Vincent and the Grenadines,75.9927
Sudan,26.4383
Suriname,78.3958
Sweden,95.5293
Switzerland,97.3444
Syrian Arab Republic,34.65
Tajikistan,56.791
Tanzania,29.0638
Thailand,90.8672
Timor-Leste,34.0207
Togo,37.0223
Tonga,58.5334
Trinidad and Tobago,84.6994
Tunisia,72.3542
Turkiye,87.3079
Turkmenistan,21.251
Turks and Caicos Islands,0.0
Tuvalu,74.3146
Uganda,8.94983
Ukraine,82.3755
United Arab Emirates,100.0
United Kingdom,96.2988
United States,93.1444
Uruguay,91.9911
Uzbekistan,89.0136
Vanuatu,45.7313
"Venezuela, RB",61.6
Viet Nam,84.15
Virgin Islands (U.S.),64.3775
West Bank and Gaza,86.6377
"Yemen, Rep.",13.8152
Zambia,33.0
Zimbabwe,38.4266
